[2016-04-05 17:01:14] test_Device.py [Test Case:test_Device] [line:29]INFO:~~~设备信息模块测试~~~
[2016-04-05 17:01:14] test_Device.py [Test Case:<module>] [line:423]INFO:test_Device start--
[2016-04-05 17:01:18] test_Device.py [Test Case:test_0add_Device] [line:134]INFO:开始执行用例...
[2016-04-05 17:01:22] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:01:24] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:01:31] test_Device.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-05 17:01:31] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-05 17:01:36] test_Device.py [Test Case:test_1search_byDeviceName] [line:180]INFO:开始执行用例...
[2016-04-05 17:01:40] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:01:42] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:01:48] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-05 17:01:52] test_Device.py [Test Case:test_2search_byDeviceCode] [line:260]INFO:开始执行用例...
[2016-04-05 17:01:57] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:01:58] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:02:05] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-05 17:02:13] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:02:15] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:02:20] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-05 17:02:25] test_Device.py [Test Case:test_4search_byDeviceType] [line:300]INFO:开始执行用例...
[2016-04-05 17:02:29] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:02:31] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:02:46] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-05 17:02:50] test_Device.py [Test Case:test_5search_byOrgType] [line:325]INFO:开始执行用例...
[2016-04-05 17:02:58] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:03:00] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:03:04] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-05 17:03:09] test_Device.py [Test Case:test_6modify_Device] [line:348]INFO:开始执行用例...
[2016-04-05 17:03:13] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:03:14] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:03:24] test_Device.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-05 17:03:31] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-05 17:03:36] test_Device.py [Test Case:test_7delete_Device] [line:390]INFO:开始执行用例...
[2016-04-05 17:03:40] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-05 17:03:42] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-05 17:03:51] test_Device.py [Test Case:clickButton] [line:95]INFO:删除成功
[2016-04-05 17:03:51] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
