[2016-04-08 09:47:19] test_Measure_WorkOrder.py [Test Case:test_Measure_WorkOrder] [line:35]INFO:~~~量体工单模块测试~~~
[2016-04-08 09:47:24] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:149]INFO:开始执行测试...
[2016-04-08 09:47:28] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:47:38] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:47:38] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:47:44] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:167]INFO:等待页面刷新···
[2016-04-08 09:47:45] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:169]INFO:刷新完成！！！
[2016-04-08 09:48:08] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:48:13] test_Measure_WorkOrder.py [Test Case:test_1look_WorkOrder] [line:285]INFO:开始执行测试...
[2016-04-08 09:48:17] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:48:28] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:48:42] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:48:46] test_Measure_WorkOrder.py [Test Case:test_2search_ByWorkOrder] [line:333]INFO:开始执行测试...
[2016-04-08 09:48:50] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:49:00] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:49:12] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:49:17] test_Measure_WorkOrder.py [Test Case:test_3search_ByAppointmentTime] [line:347]INFO:开始执行测试...
[2016-04-08 09:49:21] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:49:32] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:49:48] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:49:53] test_Measure_WorkOrder.py [Test Case:test_4search_By_AppointmentStore] [line:405]INFO:开始执行测试
[2016-04-08 09:49:56] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:50:07] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:50:07] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:50:24] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:50:28] test_Measure_WorkOrder.py [Test Case:test_5search_ByMeasureWay] [line:434]INFO:开始执行测试...
[2016-04-08 09:50:33] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:50:44] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:50:57] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:51:03] test_Measure_WorkOrder.py [Test Case:test_6search_ByMeasureMaster] [line:462]INFO:开始执行测试...
[2016-04-08 09:51:07] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:51:17] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:51:17] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:51:32] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:51:36] test_Measure_WorkOrder.py [Test Case:test_7search_ByMeasureState] [line:492]INFO:开始执行测试...
[2016-04-08 09:51:41] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:51:51] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:52:03] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:52:08] test_Measure_WorkOrder.py [Test Case:test_8search_ByDressPerson] [line:517]INFO:开始执行测试...
[2016-04-08 09:52:13] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:52:23] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:52:23] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:52:36] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:52:41] test_Measure_WorkOrder.py [Test Case:test_9search_ByPhone] [line:550]INFO:开始执行测试...
[2016-04-08 09:52:45] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:52:55] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:53:09] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:53:13] test_Measure_WorkOrder.py [Test Case:test_amodify_WorkOrder] [line:581]INFO:开始执行测试...
[2016-04-08 09:53:18] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:53:28] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:53:28] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:53:58] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:54:03] test_Measure_WorkOrder.py [Test Case:test_bmodify_MeasureState] [line:629]INFO:开始执行测试...
[2016-04-08 09:54:07] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:54:22] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:54:39] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:54:44] test_Measure_WorkOrder.py [Test Case:test_cdelete_WorkOrder] [line:677]INFO:开始执行测试...
[2016-04-08 09:54:48] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:54:58] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:54:58] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:55:01] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
