[2016-04-08 14:06:56] test_SizeSetting.py [Test Case:test_SizeSetting] [line:29]INFO:~~~尺码配置模块测试~~~
[2016-04-08 14:07:05] test_SizeSetting.py [Test Case:to_SizeSetting] [line:54]INFO:等待页面刷新···
[2016-04-08 14:07:06] test_SizeSetting.py [Test Case:to_SizeSetting] [line:57]INFO:刷新完成！！！
[2016-04-08 14:07:10] test_SizeSetting.py [Test Case:tearDown] [line:293]INFO:该条用例执行完毕！！！
[2016-04-08 14:07:14] test_SizeSetting.py [Test Case:test_1search_BySizeCode] [line:183]INFO:开始执行用例...
[2016-04-08 14:07:20] test_SizeSetting.py [Test Case:to_SizeSetting] [line:54]INFO:等待页面刷新···
[2016-04-08 14:07:21] test_SizeSetting.py [Test Case:to_SizeSetting] [line:57]INFO:刷新完成！！！
[2016-04-08 14:07:24] test_SizeSetting.py [Test Case:tearDown] [line:293]INFO:该条用例执行完毕！！！
[2016-04-08 14:07:29] test_SizeSetting.py [Test Case:test_2search_BySizeName] [line:198]INFO:开始执行用例...
[2016-04-08 14:07:34] test_SizeSetting.py [Test Case:to_SizeSetting] [line:54]INFO:等待页面刷新···
[2016-04-08 14:07:35] test_SizeSetting.py [Test Case:to_SizeSetting] [line:57]INFO:刷新完成！！！
[2016-04-08 14:07:38] test_SizeSetting.py [Test Case:tearDown] [line:293]INFO:该条用例执行完毕！！！
[2016-04-08 14:07:43] test_SizeSetting.py [Test Case:test_3modify_Size] [line:223]INFO:开始执行用例...
[2016-04-08 14:07:48] test_SizeSetting.py [Test Case:to_SizeSetting] [line:54]INFO:等待页面刷新···
[2016-04-08 14:07:48] test_SizeSetting.py [Test Case:to_SizeSetting] [line:57]INFO:刷新完成！！！
[2016-04-08 14:07:52] test_SizeSetting.py [Test Case:test_3modify_Size] [line:238]INFO:等待页面刷新···
[2016-04-08 14:07:52] test_SizeSetting.py [Test Case:test_3modify_Size] [line:241]INFO:刷新完成！！！
[2016-04-08 14:07:55] test_SizeSetting.py [Test Case:tearDown] [line:293]INFO:该条用例执行完毕！！！
[2016-04-08 14:08:00] test_SizeSetting.py [Test Case:test_4delete_Size] [line:267]INFO:开始执行用例...
[2016-04-08 14:08:05] test_SizeSetting.py [Test Case:to_SizeSetting] [line:54]INFO:等待页面刷新···
[2016-04-08 14:08:06] test_SizeSetting.py [Test Case:to_SizeSetting] [line:57]INFO:刷新完成！！！
[2016-04-08 14:08:09] test_SizeSetting.py [Test Case:test_4delete_Size] [line:278]INFO:等待页面刷新···
[2016-04-08 14:08:09] test_SizeSetting.py [Test Case:test_4delete_Size] [line:280]INFO:刷新完成！！！
[2016-04-08 14:08:13] test_SizeSetting.py [Test Case:tearDown] [line:293]INFO:该条用例执行完毕！！！
