[2016-04-11 13:34:34] test_OnlinePromotion.py [Test Case:test_OnlinePromotion] [line:29]INFO:~~~线上促销模块测试~~~
[2016-04-11 13:34:34] test_OnlinePromotion.py [Test Case:<module>] [line:1315]INFO:test_OnlinePromotion start--
[2016-04-11 13:34:38] test_OnlinePromotion.py [Test Case:test_0add_Promotion] [line:190]INFO:开始执行用例...
[2016-04-11 13:34:43] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:34:44] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:35:05] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:35:08] test_OnlinePromotion.py [Test Case:test_0add_Promotion] [line:276]INFO:刷新~~~
[2016-04-11 13:35:08] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:35:13] test_OnlinePromotion.py [Test Case:test_1search_byKeyWord] [line:317]INFO:开始执行用例...
[2016-04-11 13:35:17] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:35:18] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:35:36] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:35:41] test_OnlinePromotion.py [Test Case:test_2search_byActivityTime] [line:349]INFO:开始执行用例...
[2016-04-11 13:35:45] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:35:46] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:35:55] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:35:59] test_OnlinePromotion.py [Test Case:test_3search_byApplicableObject] [line:409]INFO:开始执行用例...
[2016-04-11 13:36:31] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:36:35] test_OnlinePromotion.py [Test Case:test_4search_byMakeDate] [line:431]INFO:开始执行用例...
[2016-04-11 13:38:36] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:38:37] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:38:44] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:38:49] test_OnlinePromotion.py [Test Case:test_5search_byIdentifyDocument] [line:479]INFO:开始执行用例...
[2016-04-11 13:38:53] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:38:55] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:38:58] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:39:03] test_OnlinePromotion.py [Test Case:test_6search_byPromotionType] [line:504]INFO:开始执行用例...
[2016-04-11 13:39:07] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:39:09] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:39:12] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:39:17] test_OnlinePromotion.py [Test Case:test_7modify_Promotion] [line:559]INFO:开始执行用例...
[2016-04-11 13:39:22] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:39:23] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:39:35] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:39:35] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:39:35] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:39:40] test_OnlinePromotion.py [Test Case:test_8modify_AddSuitObject] [line:570]INFO:开始执行用例...
[2016-04-11 13:39:45] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:39:46] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:39:58] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:39:58] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:39:58] test_OnlinePromotion.py [Test Case:test_8modify_AddSuitObject] [line:576]INFO:等待界面刷新~~~
[2016-04-11 13:39:59] test_OnlinePromotion.py [Test Case:test_8modify_AddSuitObject] [line:579]INFO:刷新完成！！！
[2016-04-11 13:40:03] test_OnlinePromotion.py [Test Case:test_8modify_AddSuitObject] [line:597]INFO:保存成功！
[2016-04-11 13:40:04] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:40:09] test_OnlinePromotion.py [Test Case:test_9modify_DeleteSuitObject] [line:610]INFO:开始执行用例...
[2016-04-11 13:40:14] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:40:15] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:40:27] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:40:27] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:40:27] test_OnlinePromotion.py [Test Case:test_9modify_DeleteSuitObject] [line:616]INFO:等待界面刷新~~~
[2016-04-11 13:40:28] test_OnlinePromotion.py [Test Case:test_9modify_DeleteSuitObject] [line:619]INFO:刷新完成！！！
[2016-04-11 13:40:36] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
