[2016-04-12 12:27:44] test_AdvertisingTheme.py [Test Case:test_AdvertisingTheme] [line:33]INFO:~~~广告主题模块测试~~~
[2016-04-12 12:27:44] test_BOMManage.py [Test Case:test_BOMManager] [line:32]INFO:~~~BOM管理模块测试~~~
[2016-04-12 12:27:44] test_ColorGroup.py [Test Case:test_ColorGroup] [line:28]INFO:~~~颜色组模块测试~~~
[2016-04-12 12:27:44] test_ColorSetting.py [Test Case:test_ColorSetting] [line:30]INFO:~~~颜色配置模块测试~~~
[2016-04-12 12:27:44] test_CommodityFile.py [Test Case:test_CommodityFile] [line:25]INFO:~~~商品档案模块测试~~~
[2016-04-12 12:27:44] test_CommoditySort.py [Test Case:test_CommoditySort] [line:29]INFO:~~~商品类别模块测试~~~
[2016-04-12 12:27:44] test_MeasureItem.py [Test Case:test_MeasureItem] [line:30]INFO:~~~量体项目模块测试~~~
[2016-04-12 12:27:44] test_SizeSetting.py [Test Case:test_SizeSetting] [line:29]INFO:~~~尺码配置模块测试~~~
[2016-04-12 12:27:44] test_SKUSet.py [Test Case:test_SKUSet] [line:28]INFO:~~~SKU设置模块测试~~~
[2016-04-12 12:27:53] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 12:27:56] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 12:28:04] test_AdvertisingTheme.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-12 12:28:04] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 12:28:13] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 12:28:15] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 12:28:35] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 12:28:45] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 12:28:47] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 12:28:50] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 12:28:59] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 12:29:01] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 12:29:07] test_AdvertisingTheme.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-12 12:29:07] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 12:29:16] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 12:29:18] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 12:29:23] test_AdvertisingTheme.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-12 12:29:23] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 12:29:33] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 12:29:40] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 12:30:13] test_BOMManage.py [Test Case:clickButton] [line:139]INFO:保存成功！
[2016-04-12 12:30:14] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
[2016-04-12 12:30:23] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 12:30:29] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 12:30:36] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
