[2016-04-12 14:32:30] test_CommodityFile.py [Test Case:test_CommodityFile] [line:25]INFO:~~~商品档案模块测试~~~
[2016-04-12 14:32:30] test_CommodityFile.py [Test Case:<module>] [line:442]INFO:test_CommodityFile start~~~
[2016-04-12 14:32:34] test_CommodityFile.py [Test Case:test_0add_File] [line:153]INFO:开始执行用例...
[2016-04-12 14:32:39] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:32:42] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:32:52] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:32:56] test_CommodityFile.py [Test Case:test_1search_ByCode] [line:225]INFO:开始执行用例...
[2016-04-12 14:33:01] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:33:03] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:33:35] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:33:40] test_CommodityFile.py [Test Case:test_2search_ByName] [line:251]INFO:开始执行用例...
[2016-04-12 14:33:45] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:33:47] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:34:18] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:34:24] test_CommodityFile.py [Test Case:test_3search_BySort] [line:281]INFO:开始执行用例...
[2016-04-12 14:34:30] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:34:33] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:35:08] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:35:15] test_CommodityFile.py [Test Case:test_4view_Com] [line:314]INFO:开始执行用例...
[2016-04-12 14:35:20] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:35:22] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:35:53] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:35:58] test_CommodityFile.py [Test Case:test_5modify_Com] [line:350]INFO:开始执行用例...
[2016-04-12 14:36:03] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:36:05] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
