[2016-04-12 17:38:08] test_RoleInfo.py [Test Case:test_RoleInfo] [line:31]INFO:~~~商品类别模块测试~~~
[2016-04-12 17:38:08] test_RoleInfo.py [Test Case:<module>] [line:393]INFO:test_EmployeeInfo start--
[2016-04-12 17:38:13] test_RoleInfo.py [Test Case:test_0add_Role] [line:135]INFO:开始执行用例...
[2016-04-12 17:38:18] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-12 17:38:19] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-12 17:38:24] test_RoleInfo.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-12 17:38:25] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-12 17:38:29] test_RoleInfo.py [Test Case:test_1search_ByRoleCode] [line:194]INFO:开始执行用例...
[2016-04-12 17:38:34] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-12 17:38:35] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-12 17:38:40] test_RoleInfo.py [Test Case:test_1search_ByRoleCode] [line:216]INFO:等待页面刷新···
[2016-04-12 17:38:40] test_RoleInfo.py [Test Case:test_1search_ByRoleCode] [line:218]INFO:刷新完成！！！
[2016-04-12 17:38:40] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-12 17:38:45] test_RoleInfo.py [Test Case:test_2search_ByRoleName] [line:228]INFO:开始执行用例...
[2016-04-12 17:38:49] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-12 17:38:50] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-12 17:38:54] test_RoleInfo.py [Test Case:test_2search_ByRoleName] [line:245]INFO:等待页面刷新···
[2016-04-12 17:38:54] test_RoleInfo.py [Test Case:test_2search_ByRoleName] [line:247]INFO:刷新完成！！！
[2016-04-12 17:38:54] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-12 17:38:58] test_RoleInfo.py [Test Case:test_3search_ByRoleState] [line:257]INFO:开始执行用例...
[2016-04-12 17:39:03] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-12 17:39:04] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-12 17:39:10] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-12 17:39:14] test_RoleInfo.py [Test Case:test_4search_byRoleInfo] [line:285]INFO:开始执行用例...
[2016-04-12 17:39:20] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-12 17:39:20] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-12 17:39:23] test_RoleInfo.py [Test Case:test_4search_byRoleInfo] [line:301]INFO:等待页面刷新···
[2016-04-12 17:39:23] test_RoleInfo.py [Test Case:test_4search_byRoleInfo] [line:303]INFO:刷新完成！！！
[2016-04-12 17:39:23] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-12 17:39:27] test_RoleInfo.py [Test Case:test_5modify_Role] [line:311]INFO:开始执行用例...
[2016-04-12 17:39:32] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-12 17:39:33] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-12 17:39:59] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-12 17:40:04] test_RoleInfo.py [Test Case:test_6delete_Role] [line:358]INFO:开始执行用例...
[2016-04-12 17:40:08] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-12 17:40:09] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-12 17:40:16] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
