[2016-04-13 09:29:38] test_CustomExpress.py [Test Case:test_CustomExpress] [line:28]INFO:~~~自定义快递模块测试~~~
[2016-04-13 09:29:38] test_CustomExpress.py [Test Case:<module>] [line:514]INFO:test_CustomExpress start--
[2016-04-13 09:29:49] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:29:51] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:30:00] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:293]INFO:等待页面刷新···
[2016-04-13 09:30:00] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:296]INFO:刷新完成！！！
[2016-04-13 09:30:00] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
[2016-04-13 09:30:10] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:30:13] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:30:23] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:367]INFO:等待页面刷新···
[2016-04-13 09:30:23] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:371]INFO:刷新完成！！！
[2016-04-13 09:30:23] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
[2016-04-13 09:30:33] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:30:35] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:30:42] test_CustomExpress.py [Test Case:test_3search_byStoreName] [line:400]INFO:等待页面刷新···
[2016-04-13 09:30:42] test_CustomExpress.py [Test Case:test_3search_byStoreName] [line:404]INFO:刷新完成！！！
[2016-04-13 09:30:43] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
[2016-04-13 09:30:52] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:30:55] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:31:01] test_CustomExpress.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-13 09:31:01] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
[2016-04-13 09:31:11] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:31:13] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:31:19] test_CustomExpress.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-13 09:31:19] test_CustomExpress.py [Test Case:test_5modify_CustomExpress] [line:463]INFO:等待页面刷新···
[2016-04-13 09:31:19] test_CustomExpress.py [Test Case:test_5modify_CustomExpress] [line:467]INFO:刷新完成！！！
[2016-04-13 09:31:20] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
