[2016-04-13 09:32:09] test_ConstantSetting.py [Test Case:test_ConstantSetting] [line:32]INFO:~~~常数配置模块测试~~~
[2016-04-13 09:32:09] test_CustomExpress.py [Test Case:test_CustomExpress] [line:28]INFO:~~~自定义快递模块测试~~~
[2016-04-13 09:32:09] test_DefaultExpress.py [Test Case:test_DefaultExpress] [line:31]INFO:~~~默认快递模块测试~~~
[2016-04-13 09:32:09] test_Device.py [Test Case:test_Device] [line:29]INFO:~~~设备信息模块测试~~~
[2016-04-13 09:32:09] test_EmployeeInfo.py [Test Case:test_EmployeeInfo] [line:43]INFO:~~~人员信息模块测试~~~
[2016-04-13 09:32:09] test_Organization.py [Test Case:test_Organization] [line:28]INFO:~~~销售组织管理模块测试~~~
[2016-04-13 09:32:09] test_RoleInfo.py [Test Case:test_RoleInfo] [line:31]INFO:~~~商品类别模块测试~~~
[2016-04-13 09:32:09] test_UserInformation.py [Test Case:test_UserInformation] [line:29]INFO:~~~用户信息模块测试~~~
[2016-04-13 09:32:18] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 09:32:18] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 09:32:23] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-13 09:32:24] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 09:32:33] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 09:32:34] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 09:32:39] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 09:32:48] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 09:32:49] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 09:32:52] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 09:33:01] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 09:33:01] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 09:33:07] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-13 09:33:07] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 09:33:17] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 09:33:17] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 09:33:26] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-13 09:33:29] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 09:33:38] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 09:33:39] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 09:33:47] test_ConstantSetting.py [Test Case:clickButton] [line:106]INFO:删除成功
[2016-04-13 09:33:47] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 09:33:56] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:33:58] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:34:07] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:293]INFO:等待页面刷新···
[2016-04-13 09:34:07] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:296]INFO:刷新完成！！！
[2016-04-13 09:34:08] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
[2016-04-13 09:34:17] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:34:20] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:34:30] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:367]INFO:等待页面刷新···
[2016-04-13 09:34:30] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:371]INFO:刷新完成！！！
[2016-04-13 09:34:30] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
[2016-04-13 09:34:40] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 09:34:42] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 09:34:49] test_CustomExpress.py [Test Case:test_3search_byStoreName] [line:400]INFO:等待页面刷新···
